Nome,Open Interest Call,Open Interest Put,Open Interest,Date
XX,0.0,0.0,0.0,2024-02-28
Ftsemib,70.116,150.777,,2024-07-23
A2a,2.684,2.227,,2024-07-23
Acea,522,465,,2024-07-23
Amplifon,459,577,,2024-07-23
Anima Holding,282,62,,2024-07-23
Ariston Holding,48,16,,2024-07-23
Azimut,2.492,1.689,,2024-07-23
Banca Generali,2.911,1.143,,2024-07-23
Banca Ifis,4.887,525,,2024-07-23
Banca Mediolanum,1.560,1.415,,2024-07-23
Banca Monte Paschi Siena,8.101,21.696,,2024-07-23
Banco Bpm,42.155,165.175,,2024-07-23
Bca Pop Sondrio,366,355,,2024-07-23
Bff Bank,106,67,,2024-07-23
Bper Banca,10.927,13.684,,2024-07-23
Brembo,586,1.113,,2024-07-23
Brunello Cucinelli,161,363,,2024-07-23
Buzzi,891,812,,2024-07-23
Campari,8.636,6.971,,2024-07-23
Carel Industries,,,,2024-07-23
Danieli & C,448,51,,2024-07-23
De'Longhi,10,20,,2024-07-23
Diasorin,702,396,,2024-07-23
Enav,638,12,,2024-07-23
Enel,261.675,492.713,,2024-07-23
Eni,106.546,291.270,,2024-07-23
Erg,408,621,,2024-07-23
Ferrari,6.286,9.148,,2024-07-23
Fincantieri,339,1.024,,2024-07-23
Finecobank,1.523,11.485,,2024-07-23
Generali,400.281,771.604,,2024-07-23
Geox,83,50,,2024-07-23
Gvs,8,1,,2024-07-23
Hera,557,75,,2024-07-23
Industrie De Nora,806,453,,2024-07-23
Interpump Group,2.322,430,,2024-07-23
Intesa Sanpaolo,226.079,862.726,,2024-07-23
Inwit,4.014,1.136,,2024-07-23
Iren,1.898,204,,2024-07-23
Italgas,931,3.242,,2024-07-23
Iveco Group,1.032,543,,2024-07-23
Juventus Fc,55,99,,2024-07-23
Leonardo,5.208,4.125,,2024-07-23
Lottomatica Group,89,15,,2024-07-23
Maire,241,39,,2024-07-23
Mediobanca,9.022,39.424,,2024-07-23
Mfe B,488,535,,2024-07-23
Moncler,2.134,4.209,,2024-07-23
Mondadori Edit,1.066,50,,2024-07-23
Nexi,13.527,22.349,,2024-07-23
Ovs,499,348,,2024-07-23
Piaggio,131,295,,2024-07-23
Pirelli & C,4.197,18.953,,2024-07-23
Poste Italiane,9.210,12.459,,2024-07-23
Prysmian,4.649,3.336,,2024-07-23
Rai Way,,,,2024-07-23
Recordati Ord,477,288,,2024-07-23
Reply,3,11,,2024-07-23
Safilo Group,40,6,,2024-07-23
Saipem,12.670,8.306,,2024-07-23
Salvatore Ferragamo,319,795,,2024-07-23
Sanlorenzo,,,,2024-07-23
Saras,661,834,,2024-07-23
Sesa,3.265,285,,2024-07-23
Snam,11.222,13.392,,2024-07-23
Stellantis,106.212,292.525,,2024-07-23
Stmicroelectronics,5.475,8.492,,2024-07-23
Tamburi,53,28,,2024-07-23
Technogym,142,50,,2024-07-23
Technoprobe,160,,,2024-07-23
Telecom Italia,165.911,139.085,,2024-07-23
Telecom Italia R,13.262,12.802,,2024-07-23
Tenaris,9.368,12.867,,2024-07-23
Terna,1.342,7.051,,2024-07-23
Unicredit,45.044,122.356,,2024-07-23
Unipol,2.274,5.919,,2024-07-23
Webuild,854,1.820,,2024-07-23
Totale,1.603.746,3.549.484,,2024-07-23
